month,sector,num_land_transactions_nearby_sectors,construction_area_nearby_sectors,planned_building_area_nearby_sectors,transaction_amount_nearby_sectors,yr,m,sector_num
2019-Jan,sector 1,0.0,0.0,0.0,0.0,2019,1,1
2019-Jan,sector 2,0.0,0.0,0.0,0.0,2019,1,2
2019_Jan,sector 3,0.0,0.0,0.0,0.0,2019,1,3
2019-Jan,sector 4,0.0,0.0,0.0,0.0,2019,1,4
2019_Jan,sector 5,0.0,0.0,0.0,0.0,2019,1,5
2019-Jan,sector 6,0.0,0.0,0.0,0.0,2019,1,6
2019-Jan,sector 7,0.0,0.0,0.0,0.0,2019,1,7
2019-Jan,sector 8,0.25,9340.75,23352.0,39698.5,2019,1,8
2019-Jan,sector 9,0.0,0.0,0.0,0.0,2019,1,9
2019-Jan,sector 10,0.0,0.0,0.0,0.0,2019,1,10
2019-Jan,sector 11,0.0,0.0,0.0,0.0,2019,1,11
2019-Jan,sector 12,0.0,0.0,0.0,0.0,2019,1,12
2019-Jan,sector 13,0.0,0.0,0.0,0.0,2019,1,13
2019-Jan,sector 14,0.0,0.0,0.0,0.0,2019,1,14
2019-Jan,sector 15,0.0,0.0,0.0,0.0,2019,1,15
2019-Jan,sector 16,0.0,0.0,0.0,0.0,2019,1,16
2019-Jan,sector 17,0.0,0.0,0.0,0.0,2019,1,17
2019-Jan,sector 18,0.0,0.0,0.0,0.0,2019,1,18
2019_Jan,sector 19,0.0,0.0,0.0,0.0,2019,1,19
2019-Jan,sector 20,0.0,0.0,0.0,0.0,2019,1,20
2019-Jan,sector 21,0.0,0.0,0.0,0.0,2019,1,21
2019_Jan,sector 22,0.0,0.0,0.0,0.0,2019,1,22
2019-Jan,sector 23,0.0,0.0,0.0,0.0,2019,1,23
2019-Jan,sector 24,0.0,0.0,0.0,0.0,2019,1,24
2019-Jan,sector 25,0.0,0.0,0.0,0.0,2019,1,25
2019_Jan,sector 26,0.0,0.0,0.0,0.0,2019,1,26
2019-Jan,sector 27,0.0,0.0,0.0,0.0,2019,1,27
2019-Jan,sector 28,0.0,0.0,0.0,0.0,2019,1,28
2019-Jan,sector 29,0.0,0.0,0.0,0.0,2019,1,29
2019-Jan,sector 30,0.0,0.0,0.0,0.0,2019,1,30
2019-Jan,sector 31,0.0,0.0,0.0,0.0,2019,1,31
2019_Jan,sector 32,0.0,0.0,0.0,0.0,2019,1,32
