month,sector,num_new_house_transactions,area_new_house_transactions,price_new_house_transactions,new_house_transaction_amount,area_per_unit_new_house_transactions,total_price_per_unit_new_house_transactions,num_new_house_available_for_sale,area_new_house_available_for_sale,period_new_house_sell_through,yr,m
2019-Jan,sector 1,52,4906,28184,13827.14,94,265.91,159.0,15904.0,3.78,2019,1
2019-Jan,sector 2,145,15933,17747,28277.73,110,195.02,1491.0,175113.0,12.29,2019,1
2019_Jan,sector 3,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,1
2019-Jan,sector 4,6,725,28004,1424.21,127,356.05,40.0,6826.0,5.95,2019,1
2019-Jan,sector 5,2,212,37432,792.1,106,396.05,161.0,17173.0,83.95,2019,1
2019-Jan,sector 6,5,773,15992,607.94,95,151.99,189.0,19696.0,14.27,2019,1
2019-Jan,sector 7,93,12678,31018,39326.1,136,422.86,867.0,124626.0,7.74,2019,1
2019-Jan,sector 8,51,7183,14555,10454.68,141,204.99,1719.0,261360.0,40.71,2019,1
2019-Jan,sector 9,13,840,52694,4170.55,66,347.55,95.0,14612.0,8.36,2019,1
2019-Jan,sector 10,40,3629,30431,11043.29,91,276.08,209.0,19380.0,1.73,2019,1
2019-Jan,sector 11,80,8935,11871,10606.75,112,132.58,602.0,118890.0,16.06,2019,1
2019-Jan,sector 12,6,680,19853,1349.33,113,224.89,296.0,36254.0,5.99,2019,1
2019-Jan,sector 13,150,14811,40716,60304.86,99,402.03,1093.0,113621.0,10.31,2019,1
2019-Jan,sector 14,8,1121,68195,7647.95,140,955.99,42.0,4891.0,6.44,2019,1
2019-Jan,sector 15,34,2998,47808,13982.15,89,423.7,271.0,31800.0,2.82,2019,1
2019-Jan,sector 16,4,473,12349,583.58,118,145.89,76.0,12596.0,11.66,2019,1
2019-Jan,sector 17,2,617,51085,3150.91,308,1575.45,84.0,22092.0,37.04,2019,1
2019-Jan,sector 18,13,1604,29445,4721.93,123,363.23,50.0,11416.0,21.23,2019,1
2019_Jan,sector 19,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,1
2019-Jan,sector 20,52,5355,26683,14288.21,103,274.77,789.0,82975.0,8.65,2019,1
2019-Jan,sector 21,20,3375,47430,16007.1,169,800.36,320.0,44217.0,35.13,2019,1
2019-Jan,sector 22,29,2772,49258,13653.09,96,470.8,149.0,14471.0,1.54,2019,1
2019-Jan,sector 23,9,2024,36101,7307.15,225,811.91,340.0,59418.0,18.86,2019,1
2019-Jan,sector 24,36,5683,61392,18790.55,122,751.62,481.0,66371.0,2.44,2019,1
2019-Jan,sector 25,37,7094,18804,12766.11,189,354.61,706.0,151434.0,15.66,2019,1
2019-Jan,sector 26,52,5765,45354,26146.7,111,502.82,2160.0,239551.0,66.02,2019,1
2019-Jan,sector 27,7,922,22249,2051.22,132,293.03,86.0,13017.0,19.6,2019,1
2019-Jan,sector 28,4,573,13791,789.56,143,197.39,171.0,14442.0,28.94,2019,1
2019_Jan,sector 29,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,1
2019-Jan,sector 30,22,5307,50382,26737.4,241,1215.34,428.0,120244.0,33.75,2019,1
2019-Jan,sector 31,94,9277,14615,13557.52,99,144.23,2271.0,250177.0,17.63,2019,1
2019_Jan,sector 32,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,1
2019-Jan,sector 33,2,446,91688,4089.36,223,2044.68,223.0,31899.0,119.23,2019,1
2019-Jan,sector 34,18,2849,37633,10721.18,158,595.62,334.0,51322.0,23.42,2019,1
2019-Jan,sector 35,32,3362,16738,5626.85,105,175.84,640.0,66807.0,30.46,2019,1
2019-Jan,sector 36,71,7290,39603,28868.86,103,406.6,1045.0,114190.0,19.68,2019,1
2019-Jan,sector 37,6,1868,105297,19666.71,311,3277.78,315.0,80222.0,16.79,2019,1
2019-Jan,sector 38,170,16233,51290,83259.29,95,489.76,1662.0,163579.0,5.17,2019,1
2019-Jan,sector 39,8,1343,17489,2349.37,168,293.67,124.0,20417.0,22.94,2019,1
2019_Jan,sector 40,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,1
2019_Jan,sector 41,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,1
2019-Jan,sector 42,10,1030,21364,2201.12,103,220.11,187.0,23506.0,21.08,2019,1
2019-Jan,sector 43,54,5397,47496,25634.55,100,474.71,1027.0,113026.0,11.04,2019,1
2019-Jan,sector 44,1,372,114849,4268.58,372,4268.58,46.0,15154.0,7.58,2019,1
2019-Jan,sector 45,431,42587,20535,87450.87,99,202.9,6441.0,746544.0,10.46,2019,1
2019-Jan,sector 46,115,13179,15010,19667.32,115,172.52,1435.0,276612.0,21.12,2019,1
2019-Jan,sector 47,93,8384,22140,18563.02,90,199.6,1218.0,113045.0,8.25,2019,1
2019-Jan,sector 48,30,3727,36096,13453.77,124,448.46,454.0,103662.0,21.23,2019,1
2019_Jan,sector 49,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,1
2019-Jan,sector 50,261,27563,20400,56227.67,106,215.43,2260.0,239638.0,4.88,2019,1
2019-Jan,sector 51,267,27418,29040,79621.46,103,298.21,1902.0,210317.0,4.37,2019,1
2019_Jan,sector 52,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,1
2019-Jan,sector 53,152,13934,48433,67486.82,92,443.99,433.0,42536.0,3.68,2019,1
