sector 1_new_house_transaction_amount,sector 2_new_house_transaction_amount,sector 3_new_house_transaction_amount,sector 4_new_house_transaction_amount,sector 5_new_house_transaction_amount,sector 6_new_house_transaction_amount,sector 7_new_house_transaction_amount,sector 8_new_house_transaction_amount,sector 9_new_house_transaction_amount,sector 10_new_house_transaction_amount,sector 11_new_house_transaction_amount,sector 12_new_house_transaction_amount,sector 13_new_house_transaction_amount,sector 14_new_house_transaction_amount,sector 15_new_house_transaction_amount,sector 16_new_house_transaction_amount,sector 17_new_house_transaction_amount,sector 18_new_house_transaction_amount,sector 19_new_house_transaction_amount,sector 20_new_house_transaction_amount,sector 21_new_house_transaction_amount,sector 22_new_house_transaction_amount,sector 23_new_house_transaction_amount,sector 24_new_house_transaction_amount,sector 25_new_house_transaction_amount,sector 26_new_house_transaction_amount,sector 27_new_house_transaction_amount,sector 28_new_house_transaction_amount,sector 29_new_house_transaction_amount,sector 30_new_house_transaction_amount,sector 31_new_house_transaction_amount,sector 32_new_house_transaction_amount,sector 33_new_house_transaction_amount,sector 34_new_house_transaction_amount,sector 35_new_house_transaction_amount,sector 36_new_house_transaction_amount,sector 37_new_house_transaction_amount,sector 38_new_house_transaction_amount,sector 39_new_house_transaction_amount,sector 40_new_house_transaction_amount,sector 41_new_house_transaction_amount,sector 42_new_house_transaction_amount,sector 43_new_house_transaction_amount,sector 44_new_house_transaction_amount,sector 45_new_house_transaction_amount,sector 46_new_house_transaction_amount,sector 47_new_house_transaction_amount,sector 48_new_house_transaction_amount,sector 49_new_house_transaction_amount,sector 50_new_house_transaction_amount,sector 51_new_house_transaction_amount,sector 52_new_house_transaction_amount,sector 53_new_house_transaction_amount,sector 54_new_house_transaction_amount,sector 55_new_house_transaction_amount,sector 56_new_house_transaction_amount,sector 57_new_house_transaction_amount,sector 58_new_house_transaction_amount,sector 59_new_house_transaction_amount,sector 60_new_house_transaction_amount,sector 61_new_house_transaction_amount,sector 62_new_house_transaction_amount,sector 63_new_house_transaction_amount,sector 64_new_house_transaction_amount,sector 65_new_house_transaction_amount,sector 66_new_house_transaction_amount,sector 67_new_house_transaction_amount,sector 68_new_house_transaction_amount,sector 69_new_house_transaction_amount,sector 70_new_house_transaction_amount,sector 71_new_house_transaction_amount,sector 72_new_house_transaction_amount,sector 73_new_house_transaction_amount,sector 74_new_house_transaction_amount,sector 75_new_house_transaction_amount,sector 76_new_house_transaction_amount,sector 77_new_house_transaction_amount,sector 78_new_house_transaction_amount,sector 79_new_house_transaction_amount,sector 80_new_house_transaction_amount,sector 81_new_house_transaction_amount,sector 82_new_house_transaction_amount,sector 83_new_house_transaction_amount,sector 84_new_house_transaction_amount,sector 85_new_house_transaction_amount,sector 86_new_house_transaction_amount,sector 87_new_house_transaction_amount,sector 88_new_house_transaction_amount,sector 89_new_house_transaction_amount,sector 90_new_house_transaction_amount,sector 91_new_house_transaction_amount,sector 92_new_house_transaction_amount,sector 93_new_house_transaction_amount,sector 94_new_house_transaction_amount,sector 95_new_house_transaction_amount,sector 96_new_house_transaction_amount,total_new_house_transaction_amount,yr_m
13827.14,28277.73,0.0,1424.21,792.1,607.94,39326.1,10454.68,4170.55,11043.29,10606.75,1349.33,60304.86,7647.95,13982.15,583.58,3150.91,4721.93,0.0,14288.21,16007.1,13653.09,7307.15,18790.55,12766.11,26146.7,2051.22,789.56,0.0,26737.4,13557.52,0.0,4089.36,10721.18,5626.85,28868.86,19666.71,83259.29,2349.37,0.0,0.0,2201.12,25634.55,4268.58,87450.87,19667.32,18563.02,13453.77,0.0,56227.67,79621.46,0.0,67486.82,49593.59,91832.34,1445.32,1293.34,4645.91,10687.73,0.0,4129.04,0.0,16126.17,7235.11,28803.22,5516.34,6484.06,33583.97,2869.19,1232.89,0.0,1141.86,0.0,791.26,0.0,7720.66,22793.39,3743.09,17328.2,972.43,17551.27,0.0,3343.26,0.0,87295.0,118162.71,0.0,37312.58,9676.57,1795.37,14989.97,26427.72,16539.41,70238.22,0.0,0.0,1616823.7999999998,"(2019, 1)"
8802.81,12868.22,0.0,1522.03,409.13,603.39,13707.95,3015.11,1318.58,9916.07,805.17,36457.26,28721.36,510.85,5891.97,347.23,827.8,1355.82,0.0,5925.37,18168.09,5963.21,9017.16,17508.79,11441.86,3810.56,430.51,437.94,0.0,21274.75,13180.31,0.0,0.0,3054.84,2566.51,15615.15,0.0,57028.72,544.12,0.0,0.0,1045.03,18455.67,2267.77,82955.4,8287.6,32885.2,2504.4,0.0,64583.64,82459.99,0.0,12563.91,26166.33,61566.71,230.79,1545.87,3487.84,3722.15,0.0,1143.13,0.0,6601.92,3382.3,17729.66,0.0,5200.17,9143.81,1376.65,582.94,0.0,1100.81,958.01,3782.68,0.0,2755.33,8444.39,725.32,9431.55,0.0,8897.68,0.0,5358.73,729.64,53222.18,67993.91,0.0,14923.61,5709.85,0.0,4185.14,15702.26,12333.61,43823.41,0.0,0.0,1023015.6299999999,"(2019, 2)"
23283.48,18694.8,0.0,1779.31,833.24,1024.4,16279.29,3602.07,30631.97,10852.71,7085.3,9448.16,116499.57,1831.18,9093.75,800.19,0.0,3033.72,0.0,19933.56,11220.3,2929.14,15975.07,23765.94,15942.74,16034.81,1155.67,602.55,954.82,9051.05,170358.58,0.0,9001.87,30821.32,15895.64,55917.82,13463.45,111432.62,952.74,0.0,0.0,2669.42,54346.56,2920.36,254329.15,16242.64,97404.81,7544.12,0.0,141712.98,180185.56,0.0,36698.73,54912.72,386136.2,1535.56,906.25,10028.76,8276.55,0.0,4313.47,0.0,12017.01,4078.87,10743.81,5638.12,11009.29,27686.96,3030.95,2700.97,0.0,1752.36,2070.03,7640.27,0.0,7623.95,29686.94,1148.53,20644.53,289.71,16867.91,0.0,3623.27,0.0,94904.97,231031.95,263.99,57859.79,25247.78,0.0,9404.65,28988.95,26310.37,116638.17,0.0,809.91,2800060.68,"(2019, 3)"
26626.68,15460.31,0.0,663.0,0.0,3471.18,17472.01,6238.55,27396.81,3387.26,3805.46,5833.06,34810.78,2165.05,16446.57,1072.3,0.0,2367.33,0.0,16957.9,2292.75,5921.66,9710.3,18270.06,10911.66,28064.39,37069.01,882.94,2833.89,10830.07,22952.46,0.0,0.0,6408.74,10427.58,39022.55,12876.75,107062.21,434.14,477.34,0.0,2355.31,52331.11,0.0,247147.32,25927.56,74268.69,5818.13,0.0,142209.06,118257.53,0.0,59741.31,30071.59,216926.24,3147.5,1912.59,7908.42,11408.32,0.0,19111.36,0.0,20055.54,5958.22,16427.78,3958.4,14254.36,17881.02,6670.1,735.31,0.0,628.22,6813.04,1942.18,0.0,9530.06,29246.0,1445.31,90786.73,2256.8,1427.41,163.63,12807.2,0.0,98020.21,189365.06,0.0,17610.71,14016.95,0.0,6764.72,37055.2,34804.16,146907.21,0.0,535.3,2317231.62,"(2019, 4)"
8649.42,20565.13,0.0,1387.37,0.0,4863.68,12227.16,3597.98,10354.52,3140.16,9782.84,8737.97,32968.83,602.09,7369.6,302.08,824.19,7725.75,0.0,12179.57,8579.38,45528.26,18717.99,30579.8,11209.86,36102.84,182.0,266.71,0.0,16165.35,25466.85,0.0,10710.57,12454.37,6773.15,33710.73,4263.12,68700.47,0.0,347.6,0.0,18824.23,60107.87,9606.66,153268.98,18425.32,81937.31,7446.53,0.0,133806.62,140870.53,0.0,64200.69,9082.93,237753.96,4660.44,598.19,9140.84,8619.34,0.0,22041.52,0.0,20378.03,10724.0,1661.82,4397.94,15270.04,22517.74,6232.43,1051.53,0.0,544.1,22753.3,1197.75,0.0,1843.22,9965.47,1663.52,92263.91,1129.21,8740.73,0.0,10087.42,0.0,106542.73,223836.2,0.0,18462.12,4510.41,2279.79,7866.51,37666.98,52138.46,108483.87,0.0,0.0,2249638.58,"(2019, 5)"
20116.16,21165.59,0.0,4559.39,0.0,5424.0,11184.42,14597.37,14368.35,4686.62,10260.91,10776.09,51037.75,9189.49,7980.08,820.71,2480.55,4784.39,0.0,26853.49,1997.01,8773.09,6081.97,23334.35,11777.25,66083.09,1468.67,329.8,1369.24,11688.72,59973.87,0.0,11212.06,26305.88,13002.6,62920.09,23784.75,109369.94,683.1,0.0,0.0,4812.58,89484.09,16276.78,136967.78,19497.53,46664.45,6654.41,0.0,126964.13,78447.48,0.0,30699.95,44991.52,197585.01,1057.59,3395.59,15288.33,13526.97,0.0,14111.09,0.0,29623.9,3145.1,0.0,9058.77,16124.69,24362.68,3943.41,1302.43,0.0,4217.91,851.8,20838.95,0.0,24255.89,17007.14,237.39,71538.26,288.7,3963.69,0.0,37558.35,1217.25,125624.58,357796.1,1953.18,13748.75,5921.51,0.0,12564.55,44320.59,45147.92,114827.37,0.0,0.0,2498306.9800000004,"(2019, 6)"
14325.33,11263.48,0.0,4581.58,404.98,1787.85,12045.3,7292.94,11598.61,1764.9,5407.24,4881.25,24193.6,6357.58,10575.64,4761.97,2193.88,8685.94,0.0,12235.37,3237.21,7974.36,10012.48,5334.25,10401.15,31573.98,0.0,0.0,834.4,44665.02,39656.88,0.0,2841.55,18869.37,5464.65,21514.76,23651.64,60830.47,271.06,0.0,0.0,4291.07,24629.88,533.53,117879.68,22757.39,57226.11,7395.1,0.0,93461.05,135794.73,0.0,50601.42,82246.81,177595.49,1283.18,2925.1,8606.56,14012.52,0.0,12891.33,0.0,23116.42,7254.6,35865.62,6579.03,15468.04,32420.09,4078.39,1322.8,0.0,85.95,4072.16,5481.47,0.0,5304.29,41003.56,0.0,63206.15,2914.13,16146.31,0.0,30384.68,616.22,139268.38,173393.98,0.0,14526.96,7925.02,0.0,12485.13,35445.14,98988.16,157218.79,0.0,0.0,2180193.09,"(2019, 7)"
29794.76,10726.7,0.0,667.21,791.88,1410.86,11930.01,11188.03,19327.93,2185.57,10024.19,5120.86,28917.89,10386.29,9071.61,532.91,1028.52,14957.28,0.0,29841.97,7339.58,7353.4,16452.87,19909.98,11469.26,24952.21,0.0,0.0,0.0,24649.81,58426.22,0.0,14128.72,24299.46,3552.19,33642.94,32043.91,43205.42,772.89,0.0,0.0,3266.87,20383.03,382.96,194935.58,12980.14,40757.82,5114.82,0.0,73008.51,99674.13,1461.07,27786.71,45826.24,177273.09,854.9,2366.23,6767.26,34049.23,0.0,16645.09,26655.7,26984.11,4198.95,28412.1,7104.62,15126.76,25453.81,3800.23,1459.11,0.0,162.0,3511.87,3101.34,0.0,16126.68,29885.72,399.61,30320.97,3042.99,3345.76,920.64,25695.66,925.75,161972.38,262772.84,0.0,15935.71,1713.32,0.0,6370.31,26306.84,61210.82,96221.84,0.0,0.0,2172775.4499999997,"(2019, 8)"
13982.09,11212.98,0.0,716.63,379.03,818.59,10797.42,9722.32,9726.18,2149.53,6432.66,6744.51,25571.64,12545.69,3979.73,344.84,2497.54,12984.12,0.0,23043.87,2751.25,56870.74,8630.85,7093.88,19534.85,36634.92,1342.02,980.23,604.05,25772.97,53062.65,0.0,5381.8,21837.33,2892.63,34433.96,24649.11,57438.85,610.59,979.89,0.0,3362.12,80552.89,9543.11,100587.72,17534.66,116612.84,12290.47,0.0,68935.97,76653.31,0.0,51638.6,59462.35,177760.85,2284.49,1516.62,6362.66,39761.83,0.0,15743.04,20082.59,46988.31,4389.68,26876.53,6036.48,11915.65,26154.08,2815.09,576.61,0.0,487.47,2915.11,13117.46,0.0,13050.27,20697.39,0.0,16859.18,1560.12,1920.3,0.0,41800.24,0.0,118709.09,267702.56,0.0,7934.21,5133.02,4663.63,5198.87,23569.09,95326.95,89003.22,0.0,0.0,2231238.67,"(2019, 9)"
11949.09,7955.07,0.0,685.26,414.22,1666.08,7195.52,5099.14,4885.36,2773.38,5791.0,3747.24,6695.68,3460.59,4564.81,554.33,1105.42,1846.77,0.0,44515.86,3227.03,89205.8,20940.41,16472.42,12236.58,32013.92,1051.0,117.27,2418.18,24986.45,48764.54,0.0,8067.71,22890.61,2350.51,15483.67,1565.17,32894.13,424.17,0.0,1395.06,2051.33,12613.65,10101.69,84678.59,15106.93,27744.09,8267.24,0.0,76442.55,127853.92,0.0,36748.53,61061.61,136739.16,1122.89,2582.72,2425.43,19159.6,0.0,24704.2,12562.1,56329.12,2148.24,16064.57,3413.52,8330.44,27814.55,2629.86,172.22,0.0,15694.95,33864.92,1984.1,402.18,13129.15,14308.99,0.0,15423.36,774.35,4404.58,2193.34,21284.8,11573.61,110001.18,173711.63,0.0,6105.02,3945.34,0.0,4185.01,62676.63,45322.08,90552.15,0.0,0.0,1861815.5699999998,"(2019, 10)"
